NO.,Voltage(NL3),Time(NL3)
474,-2.20E+00,9.5000E-06
475,-2.00E+00,9.5500E-06
476,-1.80E+00,9.6000E-06
477,-1.80E+00,9.6500E-06
478,-1.80E+00,9.7000E-06
479,-1.60E+00,9.7500E-06
480,-1.60E+00,9.8000E-06
481,-1.40E+00,9.8500E-06
482,-1.40E+00,9.9000E-06
483,-1.20E+00,9.9500E-06
484,-1.20E+00,1.0000E-05
485,-1.00E+00,1.0050E-05
486,-8.00E-01,1.0100E-05
487,-8.00E-01,1.0150E-05
488,-8.00E-01,1.0200E-05
489,-6.00E-01,1.0250E-05
490,-6.00E-01,1.0300E-05
491,-4.00E-01,1.0350E-05
492,-2.00E-01,1.0400E-05
493,0.00E+00,1.0450E-05
494,0.00E+00,1.0500E-05
495,2.00E-01,1.0550E-05
496,2.00E-01,1.0600E-05
497,2.00E-01,1.0650E-05
498,4.00E-01,1.0700E-05
499,6.00E-01,1.0750E-05
500,6.00E-01,1.0800E-05
501,8.00E-01,1.0850E-05
502,8.00E-01,1.0900E-05
503,1.00E+00,1.0950E-05
504,1.00E+00,1.1000E-05
505,1.00E+00,1.1050E-05
506,1.20E+00,1.1100E-05
507,1.40E+00,1.1150E-05
508,1.40E+00,1.1200E-05
509,1.60E+00,1.1250E-05
510,1.60E+00,1.1300E-05
511,1.60E+00,1.1350E-05
512,1.80E+00,1.1400E-05
513,2.00E+00,1.1450E-05
514,2.00E+00,1.1500E-05
515,2.20E+00,1.1550E-05
516,2.20E+00,1.1600E-05
517,2.20E+00,1.1650E-05
518,2.40E+00,1.1700E-05
519,2.60E+00,1.1750E-05
520,2.60E+00,1.1800E-05
521,2.60E+00,1.1850E-05
522,2.80E+00,1.1900E-05
523,2.80E+00,1.1950E-05
524,2.80E+00,1.2000E-05
525,3.00E+00,1.2050E-05
526,3.00E+00,1.2100E-05
527,3.20E+00,1.2150E-05
528,3.20E+00,1.2200E-05
529,3.20E+00,1.2250E-05
530,3.20E+00,1.2300E-05
531,3.40E+00,1.2350E-05
532,3.40E+00,1.2400E-05
533,3.40E+00,1.2450E-05
534,3.60E+00,1.2500E-05
535,3.60E+00,1.2550E-05
536,3.60E+00,1.2600E-05
537,3.80E+00,1.2650E-05
538,3.80E+00,1.2700E-05
539,3.80E+00,1.2750E-05
540,4.00E+00,1.2800E-05
541,3.80E+00,1.2850E-05
542,3.80E+00,1.2900E-05
543,4.00E+00,1.2950E-05
544,4.00E+00,1.3000E-05
545,4.00E+00,1.3050E-05
546,4.00E+00,1.3100E-05
547,4.00E+00,1.3150E-05
548,4.00E+00,1.3200E-05
549,4.20E+00,1.3250E-05
550,4.20E+00,1.3300E-05
551,4.20E+00,1.3350E-05
552,4.20E+00,1.3400E-05
553,4.20E+00,1.3450E-05
554,4.20E+00,1.3500E-05
555,4.20E+00,1.3550E-05
556,4.20E+00,1.3600E-05
557,4.20E+00,1.3650E-05
558,4.20E+00,1.3700E-05
